"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking",Starts,Ends,"Amount spent (MXN)","Estimated ad recall lift rate","Link clicks","Result rate",Frequency,"Clicks (all)","CTR (all)","Page engagement","Estimated ad recall lift (people)"
2022-05-26,2022-05-26,Maddy_Camel,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",130,estimated_ad_recallers,1461,1584,0.099461538461538,Average,2022-05-23,2022-05-30,12.93,8.898015,3,8.2070707070707,1.084189,3,0.189394,3,130
2022-05-26,2022-05-26,Nadine_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",130,estimated_ad_recallers,1209,1317,0.094,Average,2022-05-23,2022-05-30,12.22,10.752688,3,9.8709187547456,1.08933,4,0.303721,4,130
2022-05-29,2022-05-29,Nadine_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",120,estimated_ad_recallers,1021,1125,0.086166666666667,"Below average - Bottom 35% of ads",2022-05-23,2022-05-30,10.34,11.753183,4,10.666666666667,1.101861,4,0.355556,4,120
2022-05-28,2022-05-28,Maddy_Camel,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",120,estimated_ad_recallers,1136,1243,0.092416666666667,Average,2022-05-23,2022-05-30,11.09,10.56338,6,9.6540627514079,1.09419,6,0.482703,6,120
2022-05-24,2022-05-24,Joanne_Azul,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",120,estimated_ad_recallers,1202,1370,0.089583333333333,"Above average",2022-05-23,2022-05-30,10.75,9.983361,3,8.7591240875912,1.139767,3,0.218978,3,120
2022-05-30,2022-05-30,Serpent_Nude,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",110,estimated_ad_recallers,1049,1157,0.096454545454545,-,2022-05-23,2022-05-30,10.61,10.486177,2,9.5073465859983,1.102955,2,0.172861,2,110
2022-05-27,2022-05-27,Nadine_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",110,estimated_ad_recallers,887,946,0.080363636363636,Average,2022-05-23,2022-05-30,8.84,12.401353,3,11.627906976744,1.066516,3,0.317125,3,110
2022-05-27,2022-05-27,Julie_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",110,estimated_ad_recallers,769,837,0.069909090909091,Average,2022-05-23,2022-05-30,7.69,14.304291,1,13.142174432497,1.088427,1,0.119474,1,110
2022-05-26,2022-05-26,Joanne_Azul,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",110,estimated_ad_recallers,1031,1156,0.086181818181818,Average,2022-05-23,2022-05-30,9.48,10.669253,1,9.5155709342561,1.121242,3,0.259516,2,110
2022-05-25,2022-05-25,Serpent_Nude,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",110,estimated_ad_recallers,1458,1637,0.12527272727273,-,2022-05-23,2022-05-30,13.78,7.544582,3,6.7196090409285,1.122771,3,0.183262,3,110
2022-05-29,2022-05-29,Joanne_Azul,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",100,estimated_ad_recallers,879,961,0.084,"Below average - Bottom 35% of ads",2022-05-23,2022-05-30,8.4,11.376564,,10.405827263267,1.093288,0,0,,100
2022-05-27,2022-05-27,Maddy_Camel,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",100,estimated_ad_recallers,836,903,0.0828,Average,2022-05-23,2022-05-30,8.28,11.961722,1,11.074197120709,1.080144,2,0.221484,1,100
2022-05-28,2022-05-28,Joanne_Azul,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",90,estimated_ad_recallers,801,872,0.091555555555556,Average,2022-05-23,2022-05-30,8.24,11.235955,,10.321100917431,1.088639,0,0,,90
2022-05-28,2022-05-28,Nadine_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",90,estimated_ad_recallers,744,802,0.084111111111111,"Below average - Bottom 35% of ads",2022-05-23,2022-05-30,7.57,12.096774,4,11.221945137157,1.077957,5,0.623441,4,90
